dataset_id,agg_title_similarity,agg_description_similarity,avg_title_similarity,avg_description_similarity,num_keywords,title,description,keywords,outlier_type
http://data.europa.eu/88u/dataset/playgrounds1,0.9371089339256287,0.3469182252883911,0.7855303883552551,0.29080379009246826,4,Belfast City Council Playgrounds,"This data set contains information about our playgrounds, data items include; name, address, longitude, latitude",Belfast; Belfast City Council Playgrounds; Childrens Playgrounds Belfast; playgrounds,high
http://data.europa.eu/88u/dataset/public-toilets7,0.9379733800888062,0.49628734588623047,0.73374342918396,0.3882279694080353,6,Belfast  Public Toilets,"This data set contains information about our public toilets, data items include; name, address, RADAR key, baby changing facilities, longitude, latitude",Belfast; Belfast City Council Toilets; Belfast City Public Toilets; Public; Public Toilets; Toilets,high
http://data.europa.eu/88u/dataset/strategic-industrial-land,1.0,0.6270656585693359,1.0,0.6270656585693359,1,Strategic Industrial Land,Strategic Industrial Land in the London Borough of Ealing,Strategic Industrial Land,high
http://data.europa.eu/88u/dataset/towns-and-cities,1.0,0.09647780656814575,1.0,0.09647780656814575,1,Towns and Cities,{{description}},Towns and Cities,high
http://data.europa.eu/88u/dataset/public-toilets14,0.9577731490135193,0.6258831024169922,0.9145159721374512,0.5976154804229736,2,Public Toilets,"The London Assembly Health and Public Services Committee has published a report into the availability of information about public toilets in London. This package provides supporting information from the investigation.
The tables below summarise the information collected by the Assembly for each London Borough.
View the blog about the new format from Victoria Borwick, Chair of the Health and Public Services Committee.",public-toilets; toilets,high
http://data.europa.eu/88u/dataset/cemeteries6,0.9414107799530029,0.4619746208190918,0.7638451457023621,0.37483859062194824,5,Belfast Cemeteries,"This data set contains information about our cemeteries, data items include; name, address, longitude, latitude",Belfast City Cemeteries; Belfast City Grave Sites; belfast; cemeteries; graves,high
http://data.europa.eu/88u/dataset/processional-route,1.0,0.8027781248092651,1.0,0.8027781248092651,1,Processional Route,The Processional Route in the City of London,Processional Route,high
http://data.europa.eu/88u/dataset/all-sources-within-agglomerations-noise-contours-lnight-round-2,-0.07512176036834717,0.13553759455680847,-0.07512176036834717,0.13553759455680847,1,All Sources (within agglomerations) Noise Contours Lnight Round 2,"Data indicating the level of noise according to the strategic noise mapping of consolidated sources (roads, railways, airports and industry) within areas with a population of at least 100,000 people (agglomerations). Lnight indicates night time annual average noise level results in dB, where night is defined as 2300 - 0700. This data is a product of the strategic noise mapping analysis undertaken to meet the requirements of the Environmental Noise Directive (Directive 2002/49/EC).",Human health and safety,low
http://data.europa.eu/88u/dataset/all-sources-within-agglomerations-noise-contours-lden-round-2,-0.08395034074783325,0.17503860592842102,-0.08395034074783325,0.17503860592842102,1,All Sources (within agglomerations) Noise Contours Lden Round 2,"Data indicating the level of noise according to the strategic noise mapping of consolidated sources (roads, railways, airports and industry) within areas with a population of at least 250,000 people (agglomerations). Lden indicates a 24 hour annual average noise level with separate weightings for the evening and night periods. This data is a product of the strategic noise mapping analysis undertaken to meet the requirements of the Environmental Noise Directive (Directive 2002/49/EC).",Human health and safety,low
